movie_title,director_popularity,main_actor,secondary_actor,third_actor,duration,gen_Drama,gen_Comedy,gen_Thriller,gen_Action,gen_Romance,gen_Adventure,gen_Crime,gen_Fantasy,gen_Sci-Fi,gen_Horror,gen_Family,gen_Mystery,gen_Animation,gen_Biography,gen_Music,gen_Sport,gen_War,gen_Musical,gen_History,gen_Documentary,gen_Western,gen_Film-Noir,gen_Short,gen_News,gen_Reality-TV,gen_Game-Show,num_voted_users,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,crat_R,crat_PG-13,crat_PG,crat_,crat_G,crat_Not Rated,crat_Approved,crat_Unrated,crat_TV-14,crat_TV-PG,crat_X,crat_TV-MA,crat_Passed,crat_TV-G,crat_NC-17,crat_GP,crat_M,crat_TV-Y7,profit_ratio,imdb_score
El Mariachi ,12,1,1,1,81,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52055,30,96,7,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.56,GET_65_AND_LET_71
The 13th Warrior ,9,9,1,3,102,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101411,3,30,8,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3846445647,GET_65_AND_LET_71
The Wedding Date ,2,5,7,4,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38248,7,5,1,41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.105686667,GET_58_AND_LET_64
The Chronicles of Narnia: The Lion; the Witch and the Wardrobe ,5,8,1,2,150,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286506,1,2,24,25,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62061025,GET_65_AND_LET_71
The Life Before Her Eyes ,2,4,5,2,90,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12125,42,8,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037929875,GET_58_AND_LET_64
Maximum Risk ,1,6,3,2,101,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15814,65,23,18,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56381212,LET_57
Halloween III: Season of the Witch ,1,1,1,1,98,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,23,7,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,LET_57
George Washington ,8,4,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6246,4,6,7,32,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.75752381,GET_72
The Fourth Kind ,1,9,8,1,98,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63108,3,11,72,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.546448,GET_58_AND_LET_64
What Women Want ,5,24,3,11,127,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158864,6,4,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611501757,GET_58_AND_LET_64
