movie_title,director_popularity,main_actor,secondary_actor,third_actor,duration,gen_Drama,gen_Comedy,gen_Thriller,gen_Action,gen_Romance,gen_Adventure,gen_Crime,gen_Fantasy,gen_Sci-Fi,gen_Horror,gen_Family,gen_Mystery,gen_Animation,gen_Biography,gen_Music,gen_Sport,gen_War,gen_Musical,gen_History,gen_Documentary,gen_Western,gen_Film-Noir,gen_Short,gen_News,gen_Reality-TV,gen_Game-Show,num_voted_users,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,crat_R,crat_PG-13,crat_PG,crat_,crat_G,crat_Not Rated,crat_Approved,crat_Unrated,crat_TV-14,crat_TV-PG,crat_X,crat_TV-MA,crat_Passed,crat_TV-G,crat_NC-17,crat_GP,crat_M,crat_TV-Y7,profit_ratio,imdb_score
Poultrygeist: Night of the Chicken Dead ,1,1,1,1,103,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5931,2,4,3,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.046,LET_64
Good Morning; Vietnam ,13,24,5,2,121,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,98348,2,52,11,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53249,GT_64
Disturbia ,5,4,6,6,105,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186982,3,2,2,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00250855,GT_64
High School Musical 3: Senior Year ,5,4,2,5,112,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,43795,27,2,13,81,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.232400091,LET_64
Kung Fu Panda ,1,23,8,6,92,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,307029,10,1,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.656884777,GT_64
Insidious: Chapter 2 ,7,12,5,2,106,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109214,1,1,9,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7149662,GT_64
Risen ,4,1,2,1,107,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12276,2,3,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84373725,LET_64
The Pirates Who Don't Do Anything: A VeggieTales Movie ,2,1,1,2,85,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,4,26,14,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846792,LET_64
The Fifth Estate ,6,6,4,1,128,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29282,6,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1162204286,LET_64
Pirates of the Caribbean: Dead Man's Chest ,7,36,8,5,151,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522040,21,1,7,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.880145013,GT_64
Fool's Gold ,6,23,10,3,112,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59352,5,4,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0032028,LET_64
Jackass: The Movie ,4,3,3,4,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67992,1,5,13,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8535794,GT_64
The Spy Next Door ,5,6,7,2,94,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29971,8,35,6,29,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8667438571,LET_64
Shallow Hal ,10,4,14,2,114,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109445,3,126,1,142,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7709074,LET_64
American Psycho ,1,20,6,3,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357275,23,1,12,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.149631286,GT_64
Surf's Up ,1,21,19,8,85,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,54077,4,15,42,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58867694,GT_64
Northfork ,5,6,3,8,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4894,53,1,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7476726316,LET_64
Black Swan ,6,18,13,11,108,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551363,1,3,13,49,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.227102077,GT_64
Cradle 2 the Grave ,3,8,7,1,101,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34942,2,11,1,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153468467,LET_64
Fantasia 2000 ,3,1,1,1,74,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,27543,1,4,7,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75634035,GT_64
Joy Ride ,4,17,1,1,97,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53415,1,1,18,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9553557391,GT_64
Pale Rider ,20,14,9,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39451,9,3,4,2,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,GT_64
Man of Steel ,8,5,6,9,143,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548573,13,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293429178,GT_64
xXx ,11,16,1,1,132,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142569,7,4,1,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.017200229,LET_64
Bad Lieutenant: Port of Call New Orleans ,2,30,5,6,122,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64944,48,5,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848978,GT_64
Open Water ,1,1,1,1,79,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42256,9,6,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.001764,LET_64
Bulworth ,3,4,1,1,108,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21998,11,2,6,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8841944667,GT_64
3 Strikes ,2,8,12,10,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,1,1,6,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.636889167,LET_64
