movie_title,director_popularity,main_actor,secondary_actor,third_actor,duration,gen_Drama,gen_Comedy,gen_Thriller,gen_Action,gen_Romance,gen_Adventure,gen_Crime,gen_Fantasy,gen_Sci-Fi,gen_Horror,gen_Family,gen_Mystery,gen_Animation,gen_Biography,gen_Music,gen_Sport,gen_War,gen_Musical,gen_History,gen_Documentary,gen_Western,gen_Film-Noir,gen_Short,gen_News,gen_Reality-TV,gen_Game-Show,num_voted_users,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,crat_R,crat_PG-13,crat_PG,crat_,crat_G,crat_Not Rated,crat_Approved,crat_Unrated,crat_TV-14,crat_TV-PG,crat_X,crat_TV-MA,crat_Passed,crat_TV-G,crat_NC-17,crat_GP,crat_M,crat_TV-Y7,profit_ratio,imdb_score
Hoodwinked Too! Hood vs. Evil ,1,14,2,10,86,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9682,5,40,28,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3378251333,LT_50
Baby Mama ,1,8,14,10,99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34079,27,22,14,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.008978,GET_50_AND_LET_80
Addicted ,4,6,1,2,106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5975,8,1,3,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4765964,GET_50_AND_LET_80
Charlie St. Cloud ,4,2,2,1,99,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47364,9,1,28,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7076579545,GET_50_AND_LET_80
Before Midnight ,10,1,1,1,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95362,126,4,7,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.704835667,GET_50_AND_LET_80
My Own Private Idaho ,7,23,6,2,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36996,126,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5605344,GET_50_AND_LET_80
Home Alone ,7,6,6,13,103,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311075,13,1,1,38,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87562461,GET_50_AND_LET_80
My Stepmother Is an Alien ,3,14,10,3,105,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21079,72,7,1,19,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6927,GET_50_AND_LET_80
Dazed and Confused ,10,9,9,11,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120036,16,2,81,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158411449,GET_50_AND_LET_80
Spotlight ,2,7,1,1,128,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,195333,4,14,15,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249409,GT_80
Dances with Wolves ,3,4,1,2,236,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,186485,52,1,7,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.373129455,GET_50_AND_LET_80
The Nutcracker ,1,1,1,1,92,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1153,38,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1115786316,GET_50_AND_LET_80
Clueless ,4,10,5,1,97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123390,49,81,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.719297667,GET_50_AND_LET_80
Roar ,1,1,4,2,102,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,12,1,18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176470588,GET_50_AND_LET_80
Maggie ,1,2,2,1,95,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30219,13,2,10,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01543235294,GET_50_AND_LET_80
My Girl ,2,6,15,1,102,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55895,42,19,25,15,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.627105576,GET_50_AND_LET_80
Oz the Great and Powerful ,11,2,13,26,130,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175413,10,24,11,3,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.092572447,GET_50_AND_LET_80
Burn ,1,1,1,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,575,2,1,3,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4946666667,GET_50_AND_LET_80
White Chicks ,4,5,5,5,109,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98794,28,1,65,25,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.868891811,GET_50_AND_LET_80
Over Her Dead Body ,1,19,3,3,95,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21268,8,6,28,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756367,GET_50_AND_LET_80
Sinister 2 ,1,1,6,1,97,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25210,11,4,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7736779,GET_50_AND_LET_80
No Escape ,4,1,1,1,103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48675,1,1,29,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4571906,GET_50_AND_LET_80
The Best Years of Our Lives ,1,1,2,2,172,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40359,142,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.26190476,GT_80
Talladega Nights: The Ballad of Ricky Bobby ,6,29,9,14,122,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130776,2,7,126,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.030320233,GET_50_AND_LET_80
Sleepers ,13,46,28,8,147,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154487,53,3,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.211383,GET_50_AND_LET_80
Open Water ,1,1,1,1,79,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42256,9,6,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.001764,GET_50_AND_LET_80
King's Ransom ,1,10,11,7,95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3229,5,15,1,93,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2671270667,LT_50
The Cabin in the Woods ,1,14,5,2,95,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277172,3,3,1,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.401454433,GET_50_AND_LET_80
Starship Troopers ,4,9,2,2,129,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,221521,72,2,32,27,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520953,GET_50_AND_LET_80
The Tempest ,4,13,2,1,110,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6147,1,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01316825,GET_50_AND_LET_80
Before Sunset ,10,2,1,1,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168398,22,2,142,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14548963,GET_50_AND_LET_80
Friday After Next ,2,7,12,2,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19284,21,38,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64918565,GET_50_AND_LET_80
Creed ,2,25,2,3,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,146708,15,2,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.134653857,GET_50_AND_LET_80
The Killer Inside Me ,2,6,6,2,109,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28483,11,125,49,33,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01653584615,GET_50_AND_LET_80
Infamous ,2,7,6,10,118,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14143,26,22,1,125,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08849253846,GET_50_AND_LET_80
xXx ,11,16,1,1,132,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142569,7,4,1,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.017200229,GET_50_AND_LET_80
Mamma Mia! ,1,6,22,2,108,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,145974,6,4,42,1,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7635425,GET_50_AND_LET_80
Killer Joe ,7,23,1,1,98,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59297,35,4,3,15,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807056364,GET_50_AND_LET_80
Saved! ,1,6,6,4,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40274,9,16,10,52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757343,GET_50_AND_LET_80
Glory ,7,30,39,15,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,101888,22,2,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.490555556,GET_50_AND_LET_80
Hard Candy ,3,1,1,1,104,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131969,1,1,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061012632,GET_50_AND_LET_80
The Omega Code ,1,1,4,1,100,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4682,2,9,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.681406933,LT_50
Autumn in New York ,1,31,4,2,103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20201,1,27,83,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943823275,GET_50_AND_LET_80
Inception ,8,18,6,19,148,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468200,6,2,27,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.828555319,GT_80
Final Fantasy: The Spirits Within ,1,34,3,4,106,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72259,16,27,36,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2345389051,GET_50_AND_LET_80
Easy A ,3,14,3,2,92,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276746,24,6,81,52,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.300183,GET_50_AND_LET_80
Paranormal Activity 3 ,3,2,2,2,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76828,1,2,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8015656,GET_50_AND_LET_80
